fipscounty,state,msa,msaname,y2017
01001,AL,5240,"MONTGOMERY, AL",2017
01003,AL,5160,"MOBILE, AL",2017
01009,AL,1000,"BIRMINGHAM, AL",2017
01015,AL,0450,"ANNISTON,AL",2017
01033,AL,2650,"FLORENCE, AL",2017
01045,AL,2180,"DOTHAN, AL",2017
01051,AL,5240,"MONTGOMERY, AL",2017
01055,AL,2880,"GADSDEN, AL",2017
01069,AL,2180,"DOTHAN, AL",2017
01073,AL,1000,"BIRMINGHAM, AL",2017
01077,AL,2650,"FLORENCE, AL",2017
01079,AL,2030,"DECATUR, AL",2017
01081,AL,0580,"AUBURN-OPELIKA, AL",2017
01083,AL,3440,"HUNTSVILLE, AL",2017
01089,AL,3440,"HUNTSVILLE, AL",2017
01097,AL,5160,"MOBILE, AL",2017
01101,AL,5240,"MONTGOMERY, AL",2017
01103,AL,2030,"DECATUR, AL",2017
01113,AL,1800,"COLUMBUS, GA-AL",2017
01115,AL,1000,"BIRMINGHAM, AL",2017
01117,AL,1000,"BIRMINGHAM, AL",2017
01125,AL,8600,"TUSCALOOSA, AL",2017
04005,AZ,2620,"FLAGSTAFF, ARIZONA-UTAH",2017
04013,AZ,6200,"PHOENIX-MESA, AZ",2017
04015,AZ,4120,"LAS VEGAS, NV-AZ",2017
04019,AZ,8520,"TUCSON, AZ",2017
04021,AZ,6200,"PHOENIX-MESA, AZ",2017
04027,AZ,9360,"YUMA, AZ",2017
05007,AR,2580,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",2017
05031,AR,3700,"JONESBORO, AR",2017
05033,AR,2720,"FORT SMITH, AR-OK",2017
05035,AR,4920,"MEMPHIS, TN-AR-MS",2017
05045,AR,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",2017
05069,AR,6240,"PINE BLUFF, AR",2017
05085,AR,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",2017
05091,AR,8360,"TEXARKANA, TX-TEXARKANA, AR",2017
05119,AR,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",2017
05125,AR,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",2017
05131,AR,2720,"FORT SMITH, AR-OK",2017
05143,AR,2580,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",2017
06001,CA,5775,"OAKLAND, CA",2017
06007,CA,1620,"CHICO-PARADISE, CA",2017
06013,CA,5775,"OAKLAND, CA",2017
06017,CA,6920,"SACRAMENTO, CA",2017
06019,CA,2840,"FRESNO, CA",2017
06029,CA,0680,"BAKERSFIELD, CA",2017
06037,CA,4480,"LOS ANGELES-LONG BEACH, CA",2017
06037,CA,4480,"LOS ANGELES-LONG BEACH, CA",2017
06039,CA,2840,"FRESNO, CA",2017
06041,CA,7360,"SAN FRANCISCO, CA",2017
06047,CA,4940,"MERCED, CA",2017
06053,CA,7120,"SALINAS, CA",2017
06055,CA,8720,"VALLEJO-FARIFIELD-NAPA, CA",2017
06059,CA,5945,"ORANGE COUNTY, CA",2017
06061,CA,6920,"SACRAMENTO, CA",2017
06065,CA,6780,"RIVERSIDE-SAN BERNADINO, CA",2017
06067,CA,6920,"SACRAMENTO, CA",2017
06071,CA,6780,"RIVERSIDE-SAN BERNADINO, CA",2017
06073,CA,7320,"SAN DIEGO, CA",2017
06075,CA,7360,"SAN FRANCISCO, CA",2017
06077,CA,8120,"STOCKTON-LODI, CA",2017
06079,CA,7460,"SAN LUIS OBISPO-ATASCADERO-PASO ROBLES, CA",2017
06081,CA,7360,"SAN FRANCISCO, CA",2017
06083,CA,7480,"SANTA BARBARA-SANTA MARIA-LOMPOC, CA",2017
06085,CA,7400,"SAN JOSE, CA",2017
06087,CA,7485,"SANTA CRUZ-WATSONVILLE, CA",2017
06089,CA,6690,"REDDING, CA",2017
06095,CA,8720,"VALLEJO-FARIFIELD-NAPA, CA",2017
06097,CA,7500,"SANTA ROSA, CA",2017
06099,CA,5170,"MODESTO, CA",2017
06101,CA,9340,"YUBA CITY, CA",2017
06107,CA,8780,"VISALIA-TULARE-PORTERVILLE, CA",2017
06111,CA,8735,"VENTURA, CA",2017
06113,CA,9270,"YOLO, CA",2017
06115,CA,9340,"YUBA CITY, CA",2017
08001,CO,2080,"DENVER, CO",2017
08005,CO,2080,"DENVER, CO",2017
08013,CO,1125,"BOULDER-LONGMONT, CO",2017
08014,CO,2080,"DENVER, CO",2017
08031,CO,2080,"DENVER, CO",2017
08035,CO,2080,"DENVER, CO",2017
08041,CO,1720,"COLORADO SPRINGS,  CO",2017
08059,CO,2080,"DENVER, CO",2017
08069,CO,2670,"FORT COLLINS-LOVELAND, CO",2017
08077,CO,2995,"GRAND JUNCTION, CO",2017
08101,CO,6560,"PUEBLO, CO",2017
08123,CO,3060,"GREELEY, CO",2017
09001,CT,5483,NEW HAVEN-BRIDGEPORT-STAMFORD-WATERBURY-DANBU,2017
09003,CT,3283,"HARTFORD, CT",2017
09005,CT,3283,"HARTFORD, CT",2017
09007,CT,3283,"HARTFORD, CT",2017
09009,CT,5483,NEW HAVEN-BRIDGEPORT-STAMFORD-WATERBURY-DANBU,2017
09011,CT,5523,"NEW LONDON-NORWICH, CT",2017
09013,CT,3283,"HARTFORD, CT",2017
10001,DE,2190,"DOVER, DE",2017
10003,DE,9160,"WILMINGTON-NEWARK, DE-MD",2017
11001,DC,8840,"WASHINGTON, DC-MD-VA-WV",2017
12001,FL,2900,"GAINESVILLE, FL",2017
12005,FL,6015,"PANAMA CITY, FL",2017
12009,FL,4900,"MELBOURNE-TITUSVILLE-PALM BAY, FL",2017
12011,FL,2680,"FORT LAUDERDALE, FL",2017
12015,FL,6580,"PUNTA GORDA, FL",2017
12019,FL,3600,"JACKSONVILLE, FL",2017
12021,FL,5345,"NAPLES, FL",2017
12031,FL,3600,"JACKSONVILLE, FL",2017
