stcty,D_PctEst,EM_PctEst,F_PctEst,FB_PctEst,LEP_PctEst,LI_PctEst,OA_PctEst,RM_PctEst,Y_PctEst,msaname,Mean_IPD
01001,18.8,2.7,51.1,2.1,1.3,32.1,14.3,23.4,24.5,"MONTGOMERY, AL",16
01003,13.7,4.4,51.1,3.2,1.6,30.4,19,13.5,22.1,"MOBILE, AL",15
01009,14.7,9,50.6,4.5,3.6,38.1,17.4,4.5,23.5,"BIRMINGHAM, AL",16
01015,20.2,3.6,51.9,2.6,1.5,41.2,16.4,25.4,22,"ANNISTON,AL",17
01033,19.4,2.4,52,1.8,0.7,36.1,18.9,20.4,21.5,"FLORENCE, AL",16
01045,20.3,6.1,50.3,2.9,1.7,41.7,15.8,26.7,23.5,"DOTHAN, AL",17
01051,17.3,2.9,51.4,1.8,1.5,30.1,14.1,24.8,22.6,"MONTGOMERY, AL",16
01055,19.5,3.7,51.8,2.9,1.8,41,17.8,19.1,21.9,"GADSDEN, AL",18
01069,17.8,3.2,52.1,2.3,1.4,41,16.5,30.6,23.6,"DOTHAN, AL",18
01073,15.5,3.7,52.6,4,2.5,36.4,14.6,47.9,23.1,"BIRMINGHAM, AL",17
01077,15.2,2.5,52.2,2,1,38.4,18.9,13.1,20.3,"FLORENCE, AL",16
01079,20.4,2.1,51.4,0.7,0.4,38.1,16.8,22,21.8,"DECATUR, AL",16
01081,12.2,3.7,50.7,5.5,3,40.1,10.8,30.1,21.6,"AUBURN-OPELIKA, AL",15
01083,15.1,5.8,50,3.9,2.1,32.7,14.3,18.4,23.2,"HUNTSVILLE, AL",16
01089,13,4.7,51.1,5.5,2.5,28.7,14,31.5,22.3,"HUNTSVILLE, AL",16
01097,14.5,2.8,52.2,3.2,1.7,40.1,14.9,40.7,23.9,"MOBILE, AL",17
01101,16.2,3.4,52.7,4.6,2.8,41.2,13.7,63,23.8,"MONTGOMERY, AL",18
01103,17.3,8,50.7,4.3,3.9,36.8,16.3,18.8,23,"DECATUR, AL",17
01113,17.3,5.2,51.4,3.1,2,44.5,13,49.4,25,"COLUMBUS, GA-AL",18
01115,17.3,2.3,50,1.7,1,33.2,15.5,12.6,23.1,"BIRMINGHAM, AL",15
01117,11,5.8,51.4,5.3,2.8,21,13.7,19.3,24.2,"BIRMINGHAM, AL",15
01125,11.8,3.5,51.7,3.8,2.2,36.8,12.1,35.3,21,"TUSCALOOSA, AL",15
04005,12.1,13.9,50.8,4.7,5.3,40.6,11.1,36.4,21.5,"FLAGSTAFF, ARIZONA-UTAH",17
04013,11,30.6,50.5,14.8,9.2,34.2,14.1,22,24.8,"PHOENIX-MESA, AZ",18
04015,21.5,15.9,49.6,6.7,3.9,43.6,28,9.6,18.2,"LAS VEGAS, NV-AZ",18
04019,14.9,36.6,50.8,12.8,8.3,39.3,18.1,23.1,21.7,"TUCSON, AZ",19
04021,14.7,29.6,47.8,9.6,6.5,37.6,18.6,19.6,23.9,"PHOENIX-MESA, AZ",19
04027,11.4,62.9,48.6,27.1,22.5,48.4,17.6,26.9,25.9,"YUMA, AZ",21
05007,9.3,16.3,50.5,11.3,5.8,30,13,11.9,27,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",16
05031,17.2,4.9,51.3,4.2,2.4,41.9,13.1,20.1,24.8,"JONESBORO, AR",17
05033,19.4,7.3,50.8,4.1,3,41.3,15.6,10.4,25,"FORT SMITH, AR-OK",17
05035,17.2,2.4,52.7,1.6,1.2,47.9,12.8,55.2,27.7,"MEMPHIS, TN-AR-MS",18
05045,13.9,4,51,3.1,1.7,36.6,11.5,17.5,23.6,"LITTLE ROCK-NORTH LITTLE ROCK, AR",15
05069,18.2,2,50.7,1.6,1.2,47.5,15.9,59.4,22.8,"PINE BLUFF, AR",18
05085,14.1,4.3,50.8,2.1,1.1,31.1,12.7,10.9,26.3,"LITTLE ROCK-NORTH LITTLE ROCK, AR",15
05091,18.8,3.1,50.7,1.2,0.6,42.7,15.7,29.4,24,"TEXARKANA, TX-TEXARKANA, AR",17
05119,15,6,52.1,5.4,3.5,37.6,14,42.9,23.6,"LITTLE ROCK-NORTH LITTLE ROCK, AR",17
05125,16.9,4.5,50.7,2.9,1.7,25.9,16.8,10.4,23.9,"LITTLE ROCK-NORTH LITTLE ROCK, AR",15
05131,18.9,13.7,51.2,9.2,6.8,45.8,14.8,22.3,24.4,"FORT SMITH, AR-OK",19
05143,10.3,16.5,50,11.2,9.5,41.3,10.9,22.2,24.9,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",17
06001,9.6,22.5,50.9,32.1,18.4,24.6,12.8,57.4,21.2,"OAKLAND, CA",20
06007,17.2,15.7,50.5,7.6,5.4,41.9,17.3,17.8,20.2,"CHICO-PARADISE, CA",18
06013,11.3,25.3,51.2,24.7,14.1,23.1,14.6,41.4,23.3,"OAKLAND, CA",19
06017,13.2,12.6,50.1,9.2,3.8,23.2,18.9,12.5,20.6,"SACRAMENTO, CA",16
06019,13.1,52.4,50.1,21,18.9,48.3,11.4,36.5,28.7,"FRESNO, CA",22
06029,11.1,52.2,48.7,19.9,17.9,47.2,10.2,24.9,29.3,"BAKERSFIELD, CA",20
06037,9.9,48.4,50.7,34.4,24.5,38.3,12.5,48.2,22.5,"LOS ANGELES-LONG BEACH, CA",22
06039,12.7,56.9,51.7,21.5,19.4,47.4,13.1,23.3,27.7,"FRESNO, CA",21
06041,9.2,15.9,51.1,18,8.9,18.8,20.3,21.8,20.4,"SAN FRANCISCO, CA",17
06047,14.7,58.2,49.5,25.5,23,51.7,10.7,42.5,29.9,"MERCED, CA",24
06053,8.9,57.9,49,29.8,27.9,39.4,12.4,35.1,26.4,"SALINAS, CA",21
06055,11.6,33.7,50.1,21.9,15.1,24.6,17.4,27.4,21.5,"VALLEJO-FARIFIELD-NAPA, CA",19
06059,8.6,34.2,50.6,30.3,20,28.2,13.5,37.9,22.7,"ORANGE COUNTY, CA",19
06061,10.9,13.6,51.2,10.8,4.5,19.3,18.2,17.3,22.7,"SACRAMENTO, CA",16
06065,11.5,48,50.2,21.8,14.9,36.5,13.5,38.4,26.1,"RIVERSIDE-SAN BERNADINO, CA",20
06067,12.5,22.8,51.1,20.7,13.6,35.8,13,41.3,24.2,"SACRAMENTO, CA",19
06071,11,52.3,50.3,20.9,15.1,40,10.6,38.1,27,"RIVERSIDE-SAN BERNADINO, CA",21
06073,9.8,33.4,49.7,23.6,14.6,30.7,12.9,29.2,22.2,"SAN DIEGO, CA",18
