msaname,D_PctEst,EM_PctEst,F_PctEst,FB_PctEst,LEP_PctEst,LI_PctEst,OA_PctEst,RM_PctEst,Y_PctEst,Mean_IPD
"ABILENE, TX",15.9,23.8,51.1,5.6,4.1,38.9,13.9,22.2,24.7,19
"AKRON, OH",12.7,1.9,51.4,4.8,2.3,30.9,16.2,18.1,21,15
"ALBANY-SCHENECTADY-TROY, NY",12.5,5.3,51.1,7.4,3.1,25.1,16.2,16.4,20.2,15
"ALBANY, GA",14,2.7,52.9,2.8,1.5,47.8,13.5,61.1,25.2,18
"ALBUQUERQUE, NM",14,48.6,50.9,9.3,7.4,37.6,15,26,23.1,19
"ALEXANDRIA, LA",17.3,3,51.6,3,2.1,41.5,15.2,36.2,25.2,18
"ALLENTOWN-BETHLEHEM-EASTON, PA",13.5,16.8,51,8.6,6.6,27.9,17,16.7,21.6,17
"ALTOONA, PA",17.3,1.2,51,1.2,0.8,34.4,19.4,4.3,20.7,14
"AMARILLO, TX",11.9,28.5,49.7,10.2,8.5,35.3,12.8,15.7,25.9,18
"ANN ARBOR, MI",10.2,4.4,50.1,7.9,2.9,24.8,14,16.7,20.6,14
"ANNISTON,AL",20.2,3.6,51.9,2.6,1.5,41.2,16.4,25.4,22,17
"APPLETON-OSHKOSH-NEENAH, WI",10.6,4.1,49.9,3.6,2.3,24.6,14.1,8.4,22.8,14
"ASHEVILLE, NC",13.8,6.1,51.9,5.6,3.5,34.7,18.6,10.6,19.1,16
"ATHENS, GA",11.5,8.6,51.7,8.5,5.6,44.9,11.6,28.5,20,16
"ATLANTA, GA",9.9,10.8,51.6,14,7.4,31.8,11,46.2,25.3,17
"ATLANTIC-CAPE MAY, NJ",13.6,15.6,51.5,13.3,9.1,30.8,18.4,26.8,20.8,17
"AUBURN-OPELIKA, AL",12.2,3.7,50.7,5.5,3,40.1,10.8,30.1,21.6,15
"AUGUSTA-AIKEN, GA-SC",14.4,5.3,51.3,4.7,2.5,37.5,14.5,41.1,23.6,17
"AUSTIN-SAN MARCOS, TX",9.2,32.2,49.9,14.9,10,27.7,9.9,22.3,24,17
"BAKERSFIELD, CA",11.1,52.2,48.7,19.9,17.9,47.2,10.2,24.9,29.3,20
"BALTIMORE, MD",11.6,5.5,51.8,10.2,4.2,23.3,14.4,39.1,22.1,16
"BANGOR, ME",18.4,1.3,50.5,2.6,0.9,36.5,16.9,5.1,18.6,15
"BARNSTABLE-YARMOUTH, MA",13.6,2.7,52.2,7.4,2.8,20.5,28.5,7.8,15.7,15
"BATON ROUGE, LA",13.5,4.1,51.6,4.3,2.6,33,12.4,39.5,24.3,17
"BEAUMONT-PORT ARTHUR, TX",14.5,14.9,49.5,8.5,6.1,36.8,14.3,30.5,24.1,18
"BELLINGHAM, WA",13.3,9,50.5,10.6,4.3,33.8,15.9,15.8,19.9,16
"BENTON HARBOR, MI",14.8,5.2,51.1,5.7,2.6,37.7,18.4,21.6,22.3,16
"BERGEN-PASSAIC, NJ",8.3,26.5,51.5,30,16.5,23.6,15.4,32.1,22.5,19
"BILLINGS, MT",12.9,5.3,50.8,2.1,0.9,29,15.7,9.1,23.6,14
"BILOXI-GULFPORT-PASCAGOULA, MS",16.5,5.4,50.8,4,2.3,39,14.5,28,23.9,17
"BINGHAMTON, NY",15.1,3.5,50.8,5.8,2.6,34.5,18,11.8,20,16
"BIRMINGHAM, AL",14.7,4.3,52,4.1,2.5,33,14.7,36.5,23.3,17
"BISMARCK, ND",9.8,2.3,49.7,1.9,1.1,20.2,14.8,8.2,22.8,13
"BLOOMINGTON-NORMAL, IL",9.5,4.7,51.3,6.9,3,28,11.8,16.6,22,14
"BLOOMINGTON, IN",11.4,3.3,50.1,8.2,4.1,41.8,11.8,13.5,16,14
"BOISE CITY, ID",11.3,13.3,50.1,6.5,4.2,33.5,12.9,10.2,26.4,16
"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",11.1,10.1,51.3,16.4,8.9,22.1,14.8,20.5,20.6,16
"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA-NH",13.8,2,50.8,4.8,1.8,20.5,16.6,5.4,19.8,13
"BOULDER-LONGMONT, CO",8.3,13.8,49.8,10.8,4.9,24.7,12.6,11.4,19.9,14
"BRAZORIA, TX",9.9,29.7,49.4,13.1,7.9,24.4,11.1,26.1,26.8,17
"BREMERTON, WA",15.5,7.3,49,6.5,2,23.7,16.4,18.3,20.9,15
"BROWNSVILLE-HARLINGEN-SAN BENITO, TX",12.9,89.3,51.5,23.9,27.1,57.6,12.5,6,31.4,24
"BRYAN-COLLEGE STATION, TX",8.5,25.1,49.4,13.3,9.3,45.5,8.5,25.2,20.6,17
"BUFFALO-NIAGARA FALLS, NY",13.2,4.7,51.6,6.3,3.1,30.5,17,20.1,20.6,16
"BURLINGTON, VT",11.8,2,50.8,7.3,2.4,24.8,13.9,8.1,19.4,14
"CANTON-MASSILLON, OH",13.4,1.9,51.4,2,1,32.8,18.2,11.1,21.8,15
"CASPER, WY",14.6,8.2,49.3,3,2,27.9,13.3,6.7,24.1,14
"CEDAR RAPIDS, IA",10,3.1,50.7,4,2.1,24.8,14.7,11.2,23.7,14
"CHAMPAIGN-URBANA, IL",8.7,5.7,50.1,11.9,6.4,38.4,11.6,27.3,19,15
"CHARLESTON-NORTH CHARLESTON, SC",12,5.4,51.1,5,2.5,31.2,13.8,32.4,22.3,15
"CHARLESTON, WV",17.4,1.1,51.6,1.6,0.6,33.6,18.3,9.6,20.9,15
"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.7,10.2,51.5,10.3,6,31.7,12.3,32.8,24.5,17
"CHARLOTTESVILLE, VA",10.1,5.3,52.3,9.2,3.8,27.1,15.3,20.7,19.8,15
"CHATTANOOGA, TN-GA",14.9,4.3,51.5,3.9,2.3,34,16.7,18.7,21.5,16
"CHEYENNE, WY",13.4,14.3,49.3,3.3,2.1,25.4,14.6,11.3,23.3,14
"CHICAGO, IL",9.6,22.5,51.1,18.9,12.1,28.9,13.2,34.8,23.5,18
"CHICO-PARADISE, CA",17.2,15.7,50.5,7.6,5.4,41.9,17.3,17.8,20.2,18
"CINCINNATI, OH-KY-IN",12.5,2.7,51,4.3,2,28.6,14.1,18.7,23.9,15
"CLARKSVILLE-HOPKINSVILLE, TN-KY",15,9.1,49.1,4.4,2.2,38.1,9.4,28.5,27.2,17
"CLEVELAND-LORAIN-ELYRIA, OH",14.3,5.4,51.7,5.5,3.5,32,17.1,25.3,21.8,17
"COLORADO SPRINGS,  CO",12.2,16.5,49.6,6.9,3.7,28,11.8,20.5,24.8,16
"COLUMBIA, MO",11.3,3.3,51.4,6,2.6,34.7,10.9,18.6,20.4,15
"COLUMBIA, SC",12.8,5.4,51.4,5.4,3,33.7,12.8,40.2,22.5,16
"COLUMBUS, GA-AL",17.9,6.9,50.3,4.8,2.7,41.5,12.6,49.6,24.5,18
"COLUMBUS, OH",11.7,4.2,50.8,7.9,3.8,30,12.2,24.9,23.9,16
"CORPUS CHRISTI, TX",14,62,50.5,8,8.2,37.8,13.5,10.8,25.5,19
"CORVALLIS, OR",10.5,7.1,49.5,10.1,4.2,36.3,14.6,13.4,16.7,15
"CUMBERLAND, MD-WV",19.4,1.5,48.4,1.8,1.1,37.9,19.5,9.8,18.4,15
"DALLAS, TX",9.1,29.3,50.8,19.8,15,32.4,10.3,32,26.5,19
"DANVILLE, VA",18.2,3,52.3,2.6,1.6,43,20.1,36.9,20.7,18
"DAVENPORT-ROCK ISLAND-MOLINE, IA-IL",12,8.7,50.8,5.2,3.3,29.7,16.7,14.8,23.2,16
"DAYTON-SPRINGFIELD, OH",14.7,2.7,51.5,4,2,34.4,17,20.3,22.2,16
"DAYTONA BEACH, FL",16.6,12.4,51.4,8.1,4.4,38,24.3,17.1,18,17
